megahome_name,expected_name,matched_name
ทินเนอร์ TOA BARGO AAA ขวดใหญ่,ทินเนอร์ Barco รุ่น AAA ขนาด ขวดใหญ่,สีโป๊ว อะคริลิกฟิลเลอร์ TOA รุ่น ALFIL ขนาด 1 แกลอน สีขาว
วงกบประตูไม้สังเคราะห์ WPC ECO-DOOR 80x200 ซม. สีขาว,วงกบประตู WPC ECO DOOR รุ่น WVSM-100 ขนาด 80 x 200 ซม. สีขาว,วงกบประตู WPC ECO DOOR รุ่น WR-100 ขนาด 80 x 200 ซม. สีขาว
สีน้ำทาภายนอก ชนิดเนียน JBP FUTURESHIELD BASE A สีขาว 2.5 แกลลอน,สีน้ำทาภายนอก SH JBP FUTURESHIELD ขนาด 2.5 แกลลอน สีเบส A,สีน้ำทาภายนอก JBP SG รุ่น FUTURESHIELD ขนาด 2.5 แกลลอน สีเบส A
สีน้ำทาภายนอก NIPPON PAINT WEATHERBONDSHEEN BASE A 9L,สีน้ำภายนอก NIPPON รุ่น เวเธอร์บอนด์ เนียน ขนาด 9 ลิตร เบส A,สีน้ำภายนอก NIPPON รุ่น เวเธอร์บอนด์ กึ่งเงา ขนาด 9 ลิตร เบส A
สีน้ำทาภายนอก ชนิดกึ่งเงา JOTUN JOTASHIELD ANTIFADE BASE B 2.5 แกลลอน,สีน้ำภายนอกกึ่งเงา JOTUN รุ่น JOTASHIELD AF ขนาด 9 ลิตร สีเบส B,สีน้ำภายนอกกึ่งเงา JOTUN รุ่น TOUGH SHIELD MAX ขนาด 2.5 แกลลอน สีเบส B
สีน้ำทาภายนอก ชนิดกึ่งเงา BEGER COOL DIAMONDSHIELD 15 BASE A 2.5 แกลลอน,สีน้ำเนียน ภายนอก 9 ลิตร BEGER รุ่น COOL DIAMONDSHIELD เกรด 15 ปี สีเบส A,สีน้ำกึ่งเงา ภายนอก 9 ลิตร BEGER รุ่น COOL DIAMONDSHIELD เกรด 15 ปี สีเบส A
สีน้ำทาภายนอก DELTA NATIONAL SHIELD BASE A กึ่งเงา 2.5 แกลลอน,สีน้ำอะคริลิกกึ่งเงา NATIONAL SHIELD รุ่น เบส A ขนาด 2.5 แกลลอน สีเบส A,สีน้ำภายนอก ชนิดกึ่งเงา DELTA รุ่น Shield 4D ขนาด 2.5 แกลลอน สีเบส A
สีน้ำทาภายนอก BEGERCOOL DIAMONDSHIELD 15 #SW-8800 สี SUPER WHITE เนียน 2.5 แกลลอน,สีน้ำกึ่งเงา ภายนอก 9 ลิตร BEGER รุ่น COOL DIAMONDSHIELD เกรด 15 ปี GW8800 สีซูเปอร์ไวท์,สีน้ำกึ่งเงา เนียน ภายนอก 9 ลิตร BEGER รุ่น COOL DIAMONDSHIELD เกรด 15 ปี SW8800 สีซูเปอร์ไวท์
สีรองพื้นปูนอเนกประสงค์ JBP SUPREME PRIMER 2900 15 ลิตร,สีรองพื้นปูนใหม่ JBP รุ่น SUPREME PRIMER ขนาด 2.5 แกลลอน สีขาว,สีรองพื้นปูนอเนกประสงค์ JBP รุ่น Supreme Primer ขนาด 15 ลิตร สีขาว #2900
สีรองพื้นอเนกประสงค์ DULUX POWERPLUS 5 แกลลอน,สีรองพื้นปูนเก่า DULUX รุ่น เวเธอร์ชีลด์พาวเวอร์พลัส 1000 ขนาด 5 แกลลอน สี A5421000 ขาว,สีรองพื้นปูนอเนกประสงค์ สูตรน้ำ DULUX รุ่นเพาเวอร์พลัส ไฮโดรไพร์เมอร์ ขนาด 9 ลิตร สีขาว
สีรองพื้นปูนใหม่ TOA HOMECOTE 1000 ด้าน 5 แกลลอน,สีรองพื้นปูนใหม่ HOMECOTE ขนาด 5 แกลอน สี 0000 ขาว,สีรองพื้นปูนใหม่ TOA รุ่น Supershield Advance ขนาด 5 แกลอน สีขาว
สีรองพื้นปูนใหม่ NIPPON PAINT JUNIOR99 5 แกลลอน,สีรองพื้นปูนใหม่ NIPPON รุ่น จูเนียร์ 99 ขนาด 17.5 ลิตร. สีขาว,สีรองพื้นปูนใหม่ สูตรน้ำมัน NIPPON รุ่น ควิก ซิลเลอร์ ขนาด 5 แกลลอน สีขาว
โพลียูรีเทนภายนอก BEGER 1K SUPREME OUTDOOR PM9800 สีใส ด้าน 3 ลิตร,โพลียูรีเทน 1K BEGER รุ่น ซูพรีม PG-9900 ขนาด 3 ลิตร สีใส เงา,โพลียูรีเทน 1K BEGER รุ่น ซูพรีม PM-9800 ขนาด 3 ลิตร สีใส ด้าน
ไม้พื้น WPC แบบตัน THAISUN 3D 2X14X240 ซม. สีสัก,ไม้พื้น ลายร่อง-ลายไม้ WPC THAISUN ขนาด 13.5 x 240 x 2.5 ซม.. สีโอ๊ก,ไม้พื้น WPC THAISUN รุ่น ลายร่อง-ลายไม้ ขนาด 13.5 x 240 x 2.5 ซม. สีสัก
ข้องอพีวีซี 90 องศา SCG 3 นิ้ว สีฟ้า,ข้องอ 90 องศา บาง ตรามือ รุ่น 55103 ขนาด 3 นิ้ว สีฟ้า,ข้องอหนา 90 องศา SCG ขนาด 2 นิ้ว สีฟ้า
